,candidateName,primaryPoll,electionYear,electionResult,betfair,poll1,poll2,poll3,poll4,poll5,poll6,poll7,poll8,poll9,poll10,pollDate1,pollDate2,pollDate3,pollDate4,pollDate5,pollDate6,pollDate7,pollDate8,pollDate9,pollDate10,pollsterName1,pollsterName2,pollsterName3,pollsterName4,pollsterName5,pollsterName6,pollsterName7,pollsterName8,pollsterName9,pollsterName10,pollSampleSize1,pollSampleSize2,pollSampleSize3,pollSampleSize4,pollSampleSize5,pollSampleSize6,pollSampleSize7,pollSampleSize8,pollSampleSize9,pollSampleSize10,pollMode1,pollMode2,pollMode3,pollMode4,pollMode5,pollMode6,pollMode7,pollMode8,pollMode9,pollMode10,contb_total
1,Romney,national,2012,52.61,,24,28,22,30,20,18,23,25,27,18,12/18/11,12/12/11,12/12/11,12/13/11,12/13/11,12/13/11,12/18/11,12/18/11,12/18/11,12/18/11,Gallup,Ipsos/Reuters,AP-GfK,Reason/Rupe,Gallup,YouGov/Economist,CBS,ABC/Post,PPP (D),CNN,1500,500,460,NA,1000,NA,291,NA,576,402,Live Phone,Live Phone,Live Phone,Live Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,43223000.24
2,Gingrich,national,2012,14.23,,26,28,35,30,20,29,31,27,33,28,12/18/11,12/18/11,12/12/11,12/12/11,12/13/11,12/13/11,12/13/11,12/18/11,12/18/11,12/18/11,CNN,Gallup,Ipsos/Reuters,AP-GfK,Reason/Rupe,Gallup,YouGov/Economist,CBS,ABC/Post,PPP (D),402,1500,500,460,NA,1000,NA,291,NA,576,Live Phone,Live Phone,Live Phone,Live Phone,Live Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,1394639.15
3,Santorum,national,2012,20.18,,4,4,4,3,3,6,4,4,3,4,12/18/11,12/18/11,12/18/11,12/12/11,12/12/11,12/13/11,12/13/11,12/13/11,12/18/11,12/18/11,PPP (D),CNN,Gallup,Ipsos/Reuters,AP-GfK,Reason/Rupe,Gallup,YouGov/Economist,CBS,ABC/Post,576,402,1500,500,460,NA,1000,NA,291,NA,Automated Phone,Live Phone,Live Phone,Live Phone,Live Phone,Live Phone,Live Phone,Internet,Live Phone,Live Phone,683106
4,Paul,national,2012,10.67,,11,14,11,15,10,14,9,7,9,12,12/18/11,12/18/11,12/18/11,12/18/11,12/12/11,12/12/11,12/13/11,12/13/11,12/13/11,12/18/11,ABC/Post,PPP (D),CNN,Gallup,Ipsos/Reuters,AP-GfK,Reason/Rupe,Gallup,YouGov/Economist,CBS,NA,576,402,1500,500,460,NA,1000,NA,291,Live Phone,Automated Phone,Live Phone,Live Phone,Live Phone,Live Phone,Live Phone,Live Phone,Internet,Live Phone,4368581.11
5,Cain,national,2012,0.07,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/18/11,12/18/11,12/18/11,12/18/11,12/18/11,12/12/11,12/12/11,12/13/11,12/13/11,12/13/11,CBS,ABC/Post,PPP (D),CNN,Gallup,Ipsos/Reuters,AP-GfK,Reason/Rupe,Gallup,YouGov/Economist,291,NA,576,402,1500,500,460,NA,1000,NA,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Live Phone,Live Phone,Live Phone,Live Phone,Internet,1197549.23
6,Huntsman,national,2012,0.44,,2,2,3,3,1,2,2,2,2,5,12/13/11,12/18/11,12/18/11,12/18/11,12/18/11,12/18/11,12/12/11,12/12/11,12/13/11,12/13/11,YouGov/Economist,CBS,ABC/Post,PPP (D),CNN,Gallup,Ipsos/Reuters,AP-GfK,Reason/Rupe,Gallup,NA,291,NA,576,402,1500,500,460,NA,1000,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Live Phone,Live Phone,Live Phone,Live Phone,1576146.19
7,Perry,national,2012,0.22,,7,7,6,7,6,6,6,5,6,12,12/13/11,12/13/11,12/18/11,12/18/11,12/18/11,12/18/11,12/18/11,12/12/11,12/12/11,12/13/11,Gallup,YouGov/Economist,CBS,ABC/Post,PPP (D),CNN,Gallup,Ipsos/Reuters,AP-GfK,Reason/Rupe,1000,NA,291,NA,576,402,1500,500,460,NA,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Live Phone,Live Phone,Live Phone,8941492.06
8,Undecided,national,2012,0,,NA,9,10,4,17,10,NA,22,6,8,12/13/11,12/13/11,12/13/11,12/18/11,12/18/11,12/18/11,12/18/11,12/18/11,12/12/11,12/12/11,Reason/Rupe,Gallup,YouGov/Economist,CBS,ABC/Post,PPP (D),CNN,Gallup,Ipsos/Reuters,AP-GfK,NA,1000,NA,291,NA,576,402,1500,500,460,Live Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Live Phone,Live Phone,NA
9,Other,national,2012,1.58,,9,8,7,8,23,15,8,7,15,14,12/12/11,12/13/11,12/13/11,12/13/11,12/18/11,12/18/11,12/18/11,12/18/11,12/18/11,12/12/11,AP-GfK,Reason/Rupe,Gallup,YouGov/Economist,CBS,ABC/Post,PPP (D),CNN,Gallup,Ipsos/Reuters,460,NA,1000,NA,291,NA,576,402,1500,500,Live Phone,Live Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Live Phone,NA
10,Romney,iowa,2012,24.53,48.3,18,20,18,23,16,12,17,20,20,16,12/18/11,12/5/11,12/6/11,12/7/11,12/11/11,12/12/11,12/13/11,12/13/11,12/18/11,12/18/11,InsiderAdvantage,We Ask America,CNN/Time,U of Iowa,ARG,InsiderAdvantage,PPP (D),Rasmussen,Iowa State,PPP (D),422,970,419,277,600,422,572,750,333,597,Automated Phone,Automated Phone,Live Phone,Live Phone,Live Phone,Automated Phone,Automated Phone,Automated Phone,Live Phone,Automated Phone,43223000.24
