,candidateName,primaryPoll,electionYear,betfair,poll1,poll2,poll3,poll4,poll5,poll6,poll7,poll8,poll9,poll10,pollDate1,pollDate2,pollDate3,pollDate4,pollDate5,pollDate6,pollDate7,pollDate8,pollDate9,pollDate10,pollsterName1,pollsterName2,pollsterName3,pollsterName4,pollsterName5,pollsterName6,pollsterName7,pollsterName8,pollsterName9,pollsterName10,pollSampleSize1,pollSampleSize2,pollSampleSize3,pollSampleSize4,pollSampleSize5,pollSampleSize6,pollSampleSize7,pollSampleSize8,pollSampleSize9,pollSampleSize10,pollMode1,pollMode2,pollMode3,pollMode4,pollMode5,pollMode6,pollMode7,pollMode8,pollMode9,pollMode10,contb_total
1,Trump,national,2016,,38,33,36,41,42,36,38,34,35,41,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,575,423,2852,878,552,575,423,2852,878,552,Internet,Live Phone,Internet,Internet,Internet,Internet,Live Phone,Internet,Internet,Internet,1009730.97
2,Cruz,national,2016,,14,20,20,20,10,19,20,18,20,15,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,400,634,389,442,832,400,634,389,442,832,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,17008622.17
3,Rubio,national,2016,,6,13,11,11,9,12,11,9,13,8,1/11/16,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,1/13/16,1/7/16,1/10/16,1/10/16,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,552,575,423,2852,878,552,575,423,2852,878,Internet,Internet,Live Phone,Internet,Internet,Internet,Internet,Live Phone,Internet,Internet,10746283.24
4,Carson,national,2016,,11,12,6,5,12,6,9,8,10,11,1/10/16,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,1/13/16,1/6/16,1/8/16,1/10/16,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,832,400,634,389,442,832,400,634,389,442,Automated Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Internet,Live Phone,Live Phone,11746359.74
5,Bush,national,2016,,10,5,5,6,5,6,3,4,4,8,1/10/16,1/11/16,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,1/13/16,1/7/16,1/10/16,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,878,552,575,423,2852,878,552,575,423,2852,Internet,Internet,Internet,Live Phone,Internet,Internet,Internet,Internet,Live Phone,Internet,23243472.85
6,Christie,national,2016,,4,5,4,3,4,3,3,4,2,3,1/10/16,1/10/16,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,1/13/16,1/6/16,1/8/16,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,442,832,400,634,389,442,832,400,634,389,Live Phone,Automated Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Internet,Live Phone,3976329.13
7,Paul,national,2016,,3,3,3,2,3,1,3,3,2,3,1/10/16,1/10/16,1/11/16,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,1/13/16,1/7/16,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,2852,878,552,575,423,2852,878,552,575,423,Internet,Internet,Internet,Internet,Live Phone,Internet,Internet,Internet,Internet,Live Phone,4376828.14
8,Huckabee,national,2016,,3,1,3,2,2,4,2,1,1,2,1/8/16,1/10/16,1/10/16,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,1/13/16,1/6/16,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,389,442,832,400,634,389,442,832,400,634,Live Phone,Live Phone,Automated Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Internet,1895549.15
9,Kasich,national,2016,,2,3,3,4,2,2,2,2,2,1,1/7/16,1/10/16,1/10/16,1/11/16,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,1/13/16,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,423,2852,878,552,575,423,2852,878,552,575,Live Phone,Internet,Internet,Internet,Internet,Live Phone,Internet,Internet,Internet,Internet,3734242.12
10,Fiorina,national,2016,,3,3,3,4,1,3,2,2,3,1,1/6/16,1/8/16,1/10/16,1/10/16,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,1/13/16,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,634,389,442,832,400,634,389,442,832,400,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,4505707.06
11,Santorum,national,2016,,1,NA,2,0,1,0,0,NA,0,1,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,575,423,2852,878,552,575,423,2852,878,552,Internet,Live Phone,Internet,Internet,Internet,Internet,Live Phone,Internet,Internet,Internet,781401.03
12,Gilmore,national,2016,,0,NA,0,NA,NA,NA,0,NA,0,0,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,400,634,389,442,832,400,634,389,442,832,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,NA
