window_type,bw_value,year,scope,trendline_width,candidate,result,estimate,squared_error
epanechnikov,13,2008,iowa,1,GIULIANI,3.4,4.62170082951,1.49255291682
epanechnikov,13,2008,iowa,1,HUCKABEE,34.4,29.6422184405,22.6364853676
epanechnikov,13,2008,iowa,1,MCCAIN,13,11.1031092712,3.59819443682
epanechnikov,13,2008,iowa,1,PAUL,9.9,6.63984451119,10.6286138112
epanechnikov,13,2008,iowa,1,ROMNEY,25.2,30.0386198117,23.4122416822
epanechnikov,13,2008,iowa,1,THOMPSON,13.4,12.0659622969,1.7796565932
epanechnikov,13,2012,iowa,1,Romney,24.5,24.0390815965,0.21244577469
epanechnikov,13,2012,iowa,1,Gingrich,13.3,11.3970322961,3.62128608204
epanechnikov,13,2012,iowa,1,Santorum,24.6,21.336063468,10.6532816847
epanechnikov,13,2012,iowa,1,Paul,21.4,18.9023483882,6.23826357381
epanechnikov,13,2012,iowa,1,Cain,0.0,-6.54144486692,42.790500947
epanechnikov,13,2012,iowa,1,Huntsman,0.6,2.69936649723,4.4073396897
epanechnikov,13,2012,iowa,1,Perry,10.3,10.4474425272,0.0217392988245
epanechnikov,13,2008,iowa,2,GIULIANI,3.4,4.75655030382,1.8402287268
epanechnikov,13,2008,iowa,2,HUCKABEE,34.4,29.3471710368,25.5310805317
epanechnikov,13,2008,iowa,2,MCCAIN,13,11.4014965884,2.55521315705
epanechnikov,13,2008,iowa,2,PAUL,9.9,6.62193683482,10.7456981149
epanechnikov,13,2008,iowa,2,ROMNEY,25.2,29.8453579126,21.5793501365
epanechnikov,13,2008,iowa,2,THOMPSON,13.4,11.8423900697,2.42614869509
epanechnikov,13,2012,iowa,2,Romney,24.5,23.8193861986,0.463235146691
epanechnikov,13,2012,iowa,2,Gingrich,13.3,11.6450277921,2.73893300893
epanechnikov,13,2012,iowa,2,Santorum,24.6,20.8117231855,14.3510412236
epanechnikov,13,2012,iowa,2,Paul,21.4,19.0077021681,5.72308891659
epanechnikov,13,2012,iowa,2,Cain,0.0,-3.38461538462,11.4556213018
epanechnikov,13,2012,iowa,2,Huntsman,0.6,2.69430880585,4.38612937427
epanechnikov,13,2012,iowa,2,Perry,10.3,10.570015777,0.0729085198061
epanechnikov,13,2008,iowa,3,GIULIANI,3.4,4.84389309426,2.08482726765
epanechnikov,13,2008,iowa,3,HUCKABEE,34.4,29.2086054642,26.9505772267
epanechnikov,13,2008,iowa,3,MCCAIN,13,11.5624462236,2.06656085999
epanechnikov,13,2008,iowa,3,PAUL,9.9,6.61202649973,10.8107697385
epanechnikov,13,2008,iowa,3,ROMNEY,25.2,29.7218102327,20.4467677802
epanechnikov,13,2008,iowa,3,THOMPSON,13.4,11.7212890789,2.81807035674
epanechnikov,13,2012,iowa,3,Romney,24.5,23.709339848,0.625143476033
epanechnikov,13,2012,iowa,3,Gingrich,13.3,11.8568204054,2.08276734223
epanechnikov,13,2012,iowa,3,Santorum,24.6,20.5304967294,16.5608568694
epanechnikov,13,2012,iowa,3,Paul,21.4,19.0488684913,5.52781937108
epanechnikov,13,2012,iowa,3,Cain,0.0,-3.38461538462,11.4556213018
epanechnikov,13,2012,iowa,3,Huntsman,0.6,2.69076394639,4.37129387952
epanechnikov,13,2012,iowa,3,Perry,10.3,10.576241443,0.0763093348272
epanechnikov,13,2008,iowa,4,GIULIANI,3.4,4.92574453333,2.327896381
epanechnikov,13,2008,iowa,4,HUCKABEE,34.4,29.1516492901,27.5451851743
epanechnikov,13,2008,iowa,4,MCCAIN,13,11.6680726498,1.77403046628
epanechnikov,13,2008,iowa,4,PAUL,9.9,6.60551769978,10.8536136265
epanechnikov,13,2008,iowa,4,ROMNEY,25.2,29.6089082004,19.4384715198
epanechnikov,13,2008,iowa,4,THOMPSON,13.4,11.6408540596,3.09459443973
epanechnikov,13,2012,iowa,4,Romney,24.5,23.6432285957,0.734057239293
epanechnikov,13,2012,iowa,4,Gingrich,13.3,12.0017776351,1.68538130867
epanechnikov,13,2012,iowa,4,Santorum,24.6,20.3571931518,18.001409951
epanechnikov,13,2012,iowa,4,Paul,21.4,19.0708724492,5.424835148
epanechnikov,13,2012,iowa,4,Cain,0.0,-3.38461538462,11.4556213018
epanechnikov,13,2012,iowa,4,Huntsman,0.6,2.68849298563,4.36180295104
epanechnikov,13,2012,iowa,4,Perry,10.3,10.5690878391,0.0724082651384
epanechnikov,13,2008,iowa,5,GIULIANI,3.4,4.98741968718,2.51990126324
epanechnikov,13,2008,iowa,5,HUCKABEE,34.4,29.1214299877,27.8633013748
epanechnikov,13,2008,iowa,5,MCCAIN,13,11.7399388453,1.58775411366
epanechnikov,13,2008,iowa,5,PAUL,9.9,6.60091711595,10.8839478759
epanechnikov,13,2008,iowa,5,ROMNEY,25.2,29.524082264,18.6976874261
epanechnikov,13,2008,iowa,5,THOMPSON,13.4,11.5859382472,3.29082004314
epanechnikov,13,2012,iowa,5,Romney,24.5,23.5988143068,0.812135653677
epanechnikov,13,2012,iowa,5,Gingrich,13.3,12.1056011205,1.4265886834
epanechnikov,13,2012,iowa,5,Santorum,24.6,20.2387506421,19.0204959617
epanechnikov,13,2012,iowa,5,Paul,21.4,19.084388255,5.36205775375
epanechnikov,13,2012,iowa,5,Cain,0.0,-3.38461538462,11.4556213018
epanechnikov,13,2012,iowa,5,Huntsman,0.6,2.68696209523,4.35541078693
epanechnikov,13,2012,iowa,5,Perry,10.3,10.560520803,0.0678710887981
epanechnikov,13,2008,iowa,6,GIULIANI,3.4,5.03158440801,2.66206768046
