window_type,bw_value,year,scope,candidate,result,estimate,squared_error
epanechnikov,1,2008,iowa,GIULIANI,3.4,7.0,12.96
epanechnikov,1,2008,iowa,HUCKABEE,34.4,30.0,19.36
epanechnikov,1,2008,iowa,MCCAIN,13,10.5,6.25
epanechnikov,1,2008,iowa,PAUL,9.9,8.0,3.61
epanechnikov,1,2008,iowa,ROMNEY,25.2,24.5,0.49
epanechnikov,1,2008,iowa,THOMPSON,13.4,12.0,1.96
epanechnikov,1,2012,iowa,Romney,24.5,22.0,6.25
epanechnikov,1,2012,iowa,Gingrich,13.3,15.0,2.89
epanechnikov,1,2012,iowa,Santorum,24.6,16.0,73.96
epanechnikov,1,2012,iowa,Paul,21.4,17.0,19.36
epanechnikov,1,2012,iowa,Cain,0.0,0.0,0.0
epanechnikov,1,2012,iowa,Huntsman,0.6,4.0,11.56
epanechnikov,1,2012,iowa,Perry,10.3,9.0,1.69
epanechnikov,2,2008,iowa,GIULIANI,3.4,7.0,12.96
epanechnikov,2,2008,iowa,HUCKABEE,34.4,30.0,19.36
epanechnikov,2,2008,iowa,MCCAIN,13,10.5,6.25
epanechnikov,2,2008,iowa,PAUL,9.9,8.0,3.61
epanechnikov,2,2008,iowa,ROMNEY,25.2,24.5,0.49
epanechnikov,2,2008,iowa,THOMPSON,13.4,12.0,1.96
epanechnikov,2,2012,iowa,Romney,24.5,22.0,6.25
epanechnikov,2,2012,iowa,Gingrich,13.3,15.0,2.89
epanechnikov,2,2012,iowa,Santorum,24.6,16.0,73.96
epanechnikov,2,2012,iowa,Paul,21.4,17.0,19.36
epanechnikov,2,2012,iowa,Cain,0.0,0.0,0.0
epanechnikov,2,2012,iowa,Huntsman,0.6,4.0,11.56
epanechnikov,2,2012,iowa,Perry,10.3,9.0,1.69
epanechnikov,3,2008,iowa,GIULIANI,3.4,6.58904109589,10.1699831113
epanechnikov,3,2008,iowa,HUCKABEE,34.4,29.9315068493,19.9674310377
epanechnikov,3,2008,iowa,MCCAIN,13,10.7054794521,5.26482454494
epanechnikov,3,2008,iowa,PAUL,9.9,8.06849315068,3.35441733909
epanechnikov,3,2008,iowa,ROMNEY,25.2,24.1575342466,1.08673484706
epanechnikov,3,2008,iowa,THOMPSON,13.4,11.9315068493,2.15647213361
epanechnikov,3,2012,iowa,Romney,24.5,21.2079207921,10.8377855112
epanechnikov,3,2012,iowa,Gingrich,13.3,15.5940594059,5.26270855798
epanechnikov,3,2012,iowa,Santorum,24.6,16.9900990099,57.9105930791
epanechnikov,3,2012,iowa,Paul,21.4,17.5940594059,14.4851838055
epanechnikov,3,2012,iowa,Cain,0.0,0.0,0.0
epanechnikov,3,2012,iowa,Huntsman,0.6,4.0,11.56
epanechnikov,3,2012,iowa,Perry,10.3,9.0,1.69
epanechnikov,4,2008,iowa,GIULIANI,3.4,6.953125,12.6246972656
epanechnikov,4,2008,iowa,HUCKABEE,34.4,29.5911458333,23.1250783963
epanechnikov,4,2008,iowa,MCCAIN,13,10.33203125,7.11805725098
epanechnikov,4,2008,iowa,PAUL,9.9,8.19010416667,2.92374376085
epanechnikov,4,2008,iowa,ROMNEY,25.2,24.3697916667,0.689245876736
epanechnikov,4,2008,iowa,THOMPSON,13.4,12.1106770833,1.66235358344
epanechnikov,4,2012,iowa,Romney,24.5,20.8813559322,13.0945848894
