window_type,bw_value,scope,mse,se
epanechnikov,1,iowa,12.3338461538,160.34
epanechnikov,2,iowa,12.3338461538,160.34
epanechnikov,3,iowa,11.0573949206,143.746133968
epanechnikov,4,iowa,11.0251339386,143.326741201
epanechnikov,5,iowa,9.10569410393,118.374023351
epanechnikov,6,iowa,8.63470541672,112.251170417
epanechnikov,7,iowa,8.32866502338,108.272645304
epanechnikov,8,iowa,8.5343742249,110.946864924
epanechnikov,9,iowa,8.62422945227,112.114982879
epanechnikov,10,iowa,8.675801066,112.785413858
epanechnikov,11,iowa,7.74273501683,100.655555219
epanechnikov,12,iowa,7.43878755106,96.7042381638
epanechnikov,13,iowa,7.29296735007,94.8085755509
epanechnikov,14,iowa,7.32261109043,95.1939441755
epanechnikov,15,iowa,7.94226396915,103.249431599
epanechnikov,16,iowa,8.44792331182,109.823003054
epanechnikov,17,iowa,8.70970203362,113.226126437
epanechnikov,18,iowa,8.81556045331,114.602285893
epanechnikov,19,iowa,8.88802719282,115.544353507
