window_type,bw_value,year,scope,candidate,result,estimate,squared_error
ksmooth,1,2008,iowa,GIULIANI,3.4,6.97440650846,12.7763818877
ksmooth,1,2008,iowa,HUCKABEE,34.4,29.9744065085,19.5858777524
ksmooth,1,2008,iowa,MCCAIN,13,10.5255934915,6.1226875691
ksmooth,1,2008,iowa,PAUL,9.9,8.0,3.61
ksmooth,1,2008,iowa,ROMNEY,25.2,24.5127967458,0.472248312623
ksmooth,1,2008,iowa,THOMPSON,13.4,11.9872032542,1.99599464486
ksmooth,1,2012,iowa,Romney,24.5,21.9500903784,6.50203907835
ksmooth,1,2012,iowa,Gingrich,13.3,15.0,2.89
ksmooth,1,2012,iowa,Santorum,24.6,16.0998192432,72.2530728981
ksmooth,1,2012,iowa,Paul,21.4,17.1996384864,17.6430368448
ksmooth,1,2012,iowa,Cain,0.0,0.0,0.0
ksmooth,1,2012,iowa,Huntsman,0.6,3.9500903784,11.2231055434
ksmooth,1,2012,iowa,Perry,10.3,9.0499096216,1.56272595416
ksmooth,2,2008,iowa,GIULIANI,3.4,6.73663289497,11.1331190758
ksmooth,2,2008,iowa,HUCKABEE,34.4,29.6906765587,22.1777272752
ksmooth,2,2008,iowa,MCCAIN,13,10.7909409068,4.87994207716
ksmooth,2,2008,iowa,PAUL,9.9,7.99080873274,3.64501129499
ksmooth,2,2008,iowa,ROMNEY,25.2,24.7052136906,0.244813491955
ksmooth,2,2008,iowa,THOMPSON,13.4,11.849933913,2.4027048742
ksmooth,2,2012,iowa,Romney,24.5,21.5890506275,8.47362624921
ksmooth,2,2012,iowa,Gingrich,13.3,14.9569747462,2.74556530948
ksmooth,2,2012,iowa,Santorum,24.6,16.8649239988,59.8314007443
ksmooth,2,2012,iowa,Paul,21.4,18.8302402565,6.60366513925
ksmooth,2,2012,iowa,Cain,0.0,0.0,0.0
ksmooth,2,2012,iowa,Huntsman,0.6,3.53168362242,8.59476886195
ksmooth,2,2012,iowa,Perry,10.3,9.46831637758,0.691697647797
ksmooth,3,2008,iowa,GIULIANI,3.4,6.71988068586,11.0216077683
