window_type,bw_value,scope,mse,se
ksmooth,1,iowa,16.010568617,112.073980319
ksmooth,2,iowa,12.4201034217,86.940723952
ksmooth,3,iowa,11.3797719416,79.658403591
ksmooth,4,iowa,11.1298405874,77.9088841116
ksmooth,5,iowa,11.3637176055,79.5460232385
ksmooth,6,iowa,11.8602612188,83.0218285317
ksmooth,7,iowa,12.4223022537,86.9561157761
ksmooth,8,iowa,12.9564474579,90.6951322052
ksmooth,9,iowa,13.4524574407,94.1672020847
ksmooth,10,iowa,13.9278620915,97.4950346408
ksmooth,11,iowa,14.4020179007,100.814125305
ksmooth,12,iowa,14.8826059643,104.17824175
ksmooth,13,iowa,15.3760620467,107.632434327
ksmooth,14,iowa,15.8827201891,111.179041324
ksmooth,15,iowa,16.4044022492,114.830815744
ksmooth,16,iowa,16.9360445413,118.552311789
ksmooth,17,iowa,17.4787187875,122.351031512
ksmooth,18,iowa,18.031404197,126.219829379
ksmooth,19,iowa,18.5996167519,130.197317264
