window_type,bw_value,year,scope,candidate,result,estimate,squared_error
lowess,0.5,2008,iowa,GIULIANI,3.4,6.03052714011,6.91967303486
lowess,0.5,2008,iowa,HUCKABEE,34.4,29.83311069,20.8564779702
lowess,0.5,2008,iowa,MCCAIN,13,11.8330625186,1.36174308543
lowess,0.5,2008,iowa,PAUL,9.9,7.45026615679,6.00119590258
lowess,0.5,2008,iowa,ROMNEY,25.2,26.0053005518,0.648508978786
lowess,0.5,2008,iowa,THOMPSON,13.4,10.8153188327,6.68057673649
lowess,0.5,2012,iowa,Romney,24.5,22.6657401023,3.36450937226
lowess,0.5,2012,iowa,Gingrich,13.3,12.458299339,0.708460002691
lowess,0.5,2012,iowa,Santorum,24.6,17.1349189821,55.7274346038
lowess,0.5,2012,iowa,Paul,21.4,21.1582490333,0.0584435299059
lowess,0.5,2012,iowa,Cain,0.0,-2.20060209363,4.84264957448
lowess,0.5,2012,iowa,Huntsman,0.6,2.91745761309,5.37060978849
lowess,0.5,2012,iowa,Perry,10.3,10.3994947614,0.00989920753671
lowess,0.1,2008,iowa,GIULIANI,3.4,6.76510234849,11.3239138158
lowess,0.1,2008,iowa,HUCKABEE,34.4,29.9397231899,19.894069223
lowess,0.1,2008,iowa,MCCAIN,13,10.9876575235,4.04952224263
lowess,0.1,2008,iowa,PAUL,9.9,8.17414051178,2.97859097309
lowess,0.1,2008,iowa,ROMNEY,25.2,24.9251317483,0.0755525557892
lowess,0.1,2008,iowa,THOMPSON,13.4,11.9505861914,2.10080038857
lowess,0.1,2012,iowa,Romney,24.5,21.1850225388,10.989075568
lowess,0.1,2012,iowa,Gingrich,13.3,15.3468563934,4.18962109528
lowess,0.1,2012,iowa,Santorum,24.6,16.3771721187,67.6148983649
lowess,0.1,2012,iowa,Paul,21.4,17.8511641017,12.5942362332
lowess,0.1,2012,iowa,Cain,0.0,0.0,0.0
lowess,0.1,2012,iowa,Huntsman,0.6,4.0,11.56
lowess,0.1,2012,iowa,Perry,10.3,9.0,1.69
lowess,0.15,2008,iowa,GIULIANI,3.4,6.89444705119,12.2111601935
lowess,0.15,2008,iowa,HUCKABEE,34.4,29.5999890752,23.0401048784
lowess,0.15,2008,iowa,MCCAIN,13,10.5306770554,6.09755580494
lowess,0.15,2008,iowa,PAUL,9.9,8.21761362864,2.83042390253
lowess,0.15,2008,iowa,ROMNEY,25.2,24.3452290651,0.730633351186
lowess,0.15,2008,iowa,THOMPSON,13.4,12.1869482604,1.47149452283
lowess,0.15,2012,iowa,Romney,24.5,21.2301469157,10.691939193
lowess,0.15,2012,iowa,Gingrich,13.3,14.9897315908,2.8551928488
lowess,0.15,2012,iowa,Santorum,24.6,17.1021787755,56.217323114
lowess,0.15,2012,iowa,Paul,21.4,18.9866310857,5.82434951638
lowess,0.15,2012,iowa,Cain,0.0,-0.0321549467089,0.00103394059785
lowess,0.15,2012,iowa,Huntsman,0.6,3.70008702454,9.61053955974
lowess,0.15,2012,iowa,Perry,10.3,9.10735758302,1.42239593478
lowess,0.2,2008,iowa,GIULIANI,3.4,6.67006392637,10.6933180825
lowess,0.2,2008,iowa,HUCKABEE,34.4,29.3975705297,25.0243006054
lowess,0.2,2008,iowa,MCCAIN,13,11.1320058636,3.48940209349
lowess,0.2,2008,iowa,PAUL,9.9,8.33410761454,2.45201896283
lowess,0.2,2008,iowa,ROMNEY,25.2,25.5970007372,0.157609585337
lowess,0.2,2008,iowa,THOMPSON,13.4,11.9985846171,1.96396507539
lowess,0.2,2012,iowa,Romney,24.5,22.454161553,4.18545495118
lowess,0.2,2012,iowa,Gingrich,13.3,14.6514763562,1.82648834133
lowess,0.2,2012,iowa,Santorum,24.6,17.2980111146,53.3190416822
lowess,0.2,2012,iowa,Paul,21.4,19.6847777749,2.94198728153
lowess,0.2,2012,iowa,Cain,0.0,-0.0337393790197,0.00113834569664
lowess,0.2,2012,iowa,Huntsman,0.6,3.80712537276,10.2856531566
lowess,0.2,2012,iowa,Perry,10.3,9.43514648166,0.747971608184
lowess,0.25,2008,iowa,GIULIANI,3.4,6.20901989487,7.89059276979
lowess,0.25,2008,iowa,HUCKABEE,34.4,29.2380876069,26.6453395537
lowess,0.25,2008,iowa,MCCAIN,13,11.5039170002,2.23826434217
lowess,0.25,2008,iowa,PAUL,9.9,8.09582459797,3.25504888128
lowess,0.25,2008,iowa,ROMNEY,25.2,26.0484045045,0.719790203307
lowess,0.25,2008,iowa,THOMPSON,13.4,11.5467903165,3.43438613092
lowess,0.25,2012,iowa,Romney,24.5,22.9857098124,2.29307477237
lowess,0.25,2012,iowa,Gingrich,13.3,14.0166738392,0.513621391766
lowess,0.25,2012,iowa,Santorum,24.6,17.7256248196,47.2570341214
lowess,0.25,2012,iowa,Paul,21.4,19.3881750683,4.04743955565
lowess,0.25,2012,iowa,Cain,0.0,-0.0665751117541,0.00443224550507
lowess,0.25,2012,iowa,Huntsman,0.6,3.05018950258,6.00342859855
lowess,0.25,2012,iowa,Perry,10.3,9.4959505804,0.646495469162
lowess,0.3,2008,iowa,GIULIANI,3.4,6.07830145183,7.17329866688
lowess,0.3,2008,iowa,HUCKABEE,34.4,28.9890191628,29.2787136207
lowess,0.3,2008,iowa,MCCAIN,13,12.237360815,0.581618526569
lowess,0.3,2008,iowa,PAUL,9.9,7.8419331035,4.23563935046
lowess,0.3,2008,iowa,ROMNEY,25.2,26.4126123743,1.47042877039
lowess,0.3,2008,iowa,THOMPSON,13.4,11.5888746193,3.28017514477
lowess,0.3,2012,iowa,Romney,24.5,23.0029800175,2.24106882804
lowess,0.3,2012,iowa,Gingrich,13.3,13.9441453188,0.414923191721
lowess,0.3,2012,iowa,Santorum,24.6,17.8211411399,45.9529274456
lowess,0.3,2012,iowa,Paul,21.4,19.7522919082,2.7149419559
lowess,0.3,2012,iowa,Cain,0.0,-0.000366076579396,1.34012061982e-07
lowess,0.3,2012,iowa,Huntsman,0.6,2.85424948502,5.08164074071
lowess,0.3,2012,iowa,Perry,10.3,9.97020357731,0.108765680421
lowess,0.35,2008,iowa,GIULIANI,3.4,6.11950256001,7.39569417389
lowess,0.35,2008,iowa,HUCKABEE,34.4,28.9340275887,29.8768544014
lowess,0.35,2008,iowa,MCCAIN,13,12.4285454881,0.32656025922
lowess,0.35,2008,iowa,PAUL,9.9,7.58304004749,5.36830342154
lowess,0.35,2008,iowa,ROMNEY,25.2,26.6103926844,1.98920752413
lowess,0.35,2008,iowa,THOMPSON,13.4,11.3956165178,4.01755314386
lowess,0.35,2012,iowa,Romney,24.5,22.9730247849,2.33165330743
lowess,0.35,2012,iowa,Gingrich,13.3,13.8206039753,0.271028499097
lowess,0.35,2012,iowa,Santorum,24.6,17.3561529963,52.4733194136
lowess,0.35,2012,iowa,Paul,21.4,19.8973520301,2.25795092156
lowess,0.35,2012,iowa,Cain,0.0,-0.0132582436305,0.000175781024165
lowess,0.35,2012,iowa,Huntsman,0.6,2.81461965666,4.90454022365
lowess,0.35,2012,iowa,Perry,10.3,10.2826476607,0.000301103679374
lowess,0.4,2008,iowa,GIULIANI,3.4,6.15381926676,7.58352055398
lowess,0.4,2008,iowa,HUCKABEE,34.4,29.1099875321,27.9842319108
lowess,0.4,2008,iowa,MCCAIN,13,12.395940576,0.364887787702
lowess,0.4,2008,iowa,PAUL,9.9,7.56338513833,5.45976901177
lowess,0.4,2008,iowa,ROMNEY,25.2,26.6730320526,2.16982342802
lowess,0.4,2008,iowa,THOMPSON,13.4,11.2387642624,4.67093991364
lowess,0.4,2012,iowa,Romney,24.5,22.9077668863,2.53520628829
lowess,0.4,2012,iowa,Gingrich,13.3,13.4128903,0.0127442198275
lowess,0.4,2012,iowa,Santorum,24.6,17.2943675234,53.3722658832
lowess,0.4,2012,iowa,Paul,21.4,20.2995844842,1.2109143075
lowess,0.4,2012,iowa,Cain,0.0,-0.438617236449,0.19238508011
lowess,0.4,2012,iowa,Huntsman,0.6,2.83809927629,5.00908837054
lowess,0.4,2012,iowa,Perry,10.3,10.3062100712,3.85649845576e-05
