POLLSTER,DATES,N/POP,GIULIANI,HUCKABEE,MCCAIN,PAUL,ROMNEY,UNDECIDED
Gallup,2/24-26/08,1012 LV,-,22,63,4,-,7
AP-Ipsos,2/22-24/08,381 A,-,27,53,8,-,11
USA Today/Gallup,2/21-24/08,829 A,-,23,61,4,-,6
Pew,2/20-24/08,482 RV,-,23,61,7,-,7
Gallup,2/22-23/08,944 LV,-,20,65,6,-,10
Fox,2/19-20/08,294 RV,-,34,51,7,-,4
Gallup,2/18-20/08,1006 LV,-,22,62,5,-,6
Gallup,2/15-17/08,1003 LV,-,26,54,6,-,8
Diageo/Hotline,2/14-17/08,266 LV,-,25,53,7,-,11
Zogby,2/13-16/08,434 LV,-,32,47,7,-,8
Gallup,2/12-14/08,1000 LV,-,28,53,5,-,6
ARG,2/9-13/08,600 LV,-,31,54,3,-,12
Gallup,2/9-11/08,963 LV,-,28,52,5,-,9
AP-Ipsos,2/7-10/08,357 A,-,30,44,9,-,4
USA Today/Gallup,2/8-9/08,A,-,27,53,8,-,-
Gallup,2/6-8/08,1012 LV,-,21,53,5,10,7
Newsweek,2/6-7/08,463,-,32,51,6,-,-
Gallup,2/3-5/08,1022 LV,-,21,41,4,25,7
CNN,2/1-3/08,412 RV,-,18,44,6,29,-
Cook/RT,1/31-2/2/08,308 RV,-,18,39,6,24,12
Gallup,1/31-2/2/08,1091 LV,-,18,43,4,24,7
CBS,1/30-2/2/08,325 LV,-,12,46,9,23,8
USA Today/Gallup,1/30-2/2/08,867 A,-,18,42,5,24,-
Pew,1/30-2/2/08,513 RV,-,20,42,5,22,11
ABC/Post,1/30-2/1/08,LV,-,16,48,7,24,3
Fox,1/30-31/08,297 RV,-,19,48,5,20,5
Gallup,1/28-30/08,1020 LV,7,17,37,4,22,10
Gallup,1/25-27/08,1044 LV,13,18,29,5,21,12
Gallup,1/22-24/08,1045 LV,14,20,31,5,19,8
NBC/WSJ,1/20-22/08,LV,13,20,28,4,17,8
Times/Bloomberg,1/18-22/08,337 LV,12,18,22,6,17,13
AP-Ipsos,1/15-17/08,394 A,14,16,22,4,16,18
CNN,1/14-17/08,377 RV,14,20,29,6,19,4
USA Today/Gallup,1/10-13/08,831 A,13,19,33,3,11,-
Pew,1/9-13/08,499 RV,13,20,29,6,17,6
Diageo/Hotline,1/10-12/08,266 LV,12,17,32,4,15,11
ABC/Post,1/9-12/08,LV,15,20,28,3,19,4
CBS/Times,1/9-12/08,270 LV,10,18,33,5,8,15
Zogby,1/10-11/08,427 LV,9,23,28,4,13,-
CNN,1/9-10/08,397 RV,18,21,34,5,14,2
USA Today/Gallup,1/4-6/08,423 A,20,25,19,4,9,9
Pew,12/19-30/07,556 RV,20,17,22,4,12,12
AP-Yahoo,12/14-20/07,655 RV,21,22,14,3,13,12
Fox,12/18-19/07,315 RV,20,19,19,3,11,13
NBC/WSJ,12/14-17/07,A,20,17,14,4,20,10
Harris,12/7-17/07,355 LV,25,21,11,6,18,-
USA Today/Gallup,12/14-16/07,399 A,27,16,14,3,14,9
Zogby,12/12-14/07,432 LV,23,22,12,4,16,9
Diageo/Hotline,12/10-14/07,291 LV,21,17,10,7,13,14
GWU Battleground,12/9-12/07,LV,22,24,15,6,16,7
ARG,12/9-12/07,600 LV,21,21,18,5,16,11
ABC/Post,12/6-9/07,293 LV,25,19,12,3,17,7
CNN,12/6-9/07,377 RV,24,22,13,6,16,6
CBS/Times,12/5-9/07,266 LV,22,21,7,4,16,17
AP-Ipsos,12/3-5/07,376 A,26,18,13,3,12,16
Times/Bloomberg,11/30-12/03/07,428 LV,23,17,11,5,9,17
USA Today/Gallup,11/30-12/2/07,425 A,25,16,15,4,12,10
Pew/AP,11/7-25/07,448 LV,26,11,17,4,13,15
Zogby,11/14-17/07,503 LV,29,11,9,5,9,21
Fox,11/13-14/07,297 RV,33,8,17,3,8,13
Gallup,11/11-14/07,398 A,28,10,13,5,12,9
ARG,11/9-12/07,600 LV,25,6,12,4,21,12
Harris,11/2-12/07,565 LV,34,9,13,6,16,-
Cook/RT,11/8-11/07,308 RV,29,8,12,6,12,16
AP-Ipsos,11/5-7/07,361 A,29,10,13,-,12,15
NBC/WSJ,11/1-5/07,A,33,8,16,4,11,8
USA Today/Gallup,11/2-4/07,430 A,34,6,18,1,14,9
CNN,11/2-4/07,397 RV,28,10,16,5,11,5
Newsweek,10/31-11/1/07,430 RV,30,7,14,3,12,17
WNBC/Marist,10/29-11/1/07,306 RV,30,5,17,2,13,20
