POLLSTER,DATES,N/POP,GIULIANI,HUCKABEE,MCCAIN,PAUL,ROMNEY,THOMPSON
InsiderAdvantage,1/2/08,430 LV,5,30,11,7,24,11
ARG,12/31/07-1/2/08,600 LV,8,29,11,6,24,13
Reuters/CSPAN/Zogby,12/30/07-1/2/08,914 LV,6,31,10,10,25,11
Reuters/CSPAN/Zogby,12/29/07-1/1/08,882 LV,7,28,12,9,26,12
Reuters/CSPAN/Zogby,12/28-31/07,903 LV,8,29,12,7,25,10
Strategic Vision (R),12/28-30/07,600 LV,4,28,16,4,30,13
Register/Selzer,12/27-30/07,800 LV,5,32,13,9,26,9
Reuters/CSPAN/Zogby,12/27-30/07,876 LV,7,29,13,7,27,8
CNN,12/26-30/07,373 LV,8,28,10,8,31,13
Reuters/CSPAN/Zogby,12/26-29/07,867 LV,8,29,11,8,28,8
McClatchy/MSNBC/McClatchy/MSNBC/,12/26-28/07,400 LV,5,23,13,5,27,14
ARG,12/26-28/07,600 LV,6,23,11,6,32,7
Research 2000,12/26-27/07,500 LV,8,34,8,8,27,11
Strategic Vision (R),12/26-27/07,600 LV,4,29,14,4,27,15
Times/Bloomberg,12/20-26/07,310 CV,6,37,11,2,23,11
ARG,12/20-23/07,600 LV,14,23,17,10,21,3
ARG,12/16-19/07,600 LV,13,28,20,4,17,5
Strategic Vision (R),12/16-18/07,600 LV,6,31,8,5,25,16
CNN,12/14-18/07,359 LV,11,33,9,6,25,9
Rasmussen,12/17/07,496 LV,8,28,14,6,27,8
InsiderAdvantage,12/16-17/07,418 HLV,5,25,7,6,28,11
ABC/Post,12/13-17/07,501 LV,8,35,6,8,27,9
Research 2000,12/10-13/07,500 LV,9,31,7,7,22,9
Diageo/Hotline,12/7-12/07,446 LV,12,36,5,5,23,8
Rasmussen,12/10/07,789 LV,8,39,6,5,23,8
Strategic Vision (R),12/8-10/07,600 LV,10,30,5,4,25,13
Newsweek,12/5-6/07,275 LV,9,39,6,8,17,10
McClatchy-MSNBC,12/3-6/07,400 LV,5,32,7,2,20,11
Strategic Vision (R),11/30-12/2/07,600 LV,13,27,6,5,24,11
Zogby,11/29-12/01/07,508 LV,12,25,5,5,26,8
ARG,11/26-29/07,600 LV,9,27,9,3,28,14
Register/Selzer,11/25-28/07,500 LV,13,29,7,7,24,9
Rasmussen,11/26-27/07,839 LV,12,28,4,5,25,11
Strategic Vision (R),11/23-25/07,600 LV,14,24,7,5,26,10
Pew/AP,11/7-25/07,264 LV,14,24,5,5,25,12
ABC/Post,11/14-18/07,400 LV,13,24,6,6,28,15
Iowa State,11/6-18/07,241 LV,16,22,8,3,25,9
Research 2000,11/12-14/07,400 LV,16,18,6,5,27,10
ARG,11/10-14/07,600 LV,11,24,10,3,26,11
Rasmussen,11/12/07,825 LV,15,16,6,4,29,14
Strategic Vision (R),11/9-12/07,600 LV,12,19,7,5,30,11
CBS/Times,11/2-12/07,480 LV,15,21,4,4,27,9
Zogby,11/6/07,410 LV,11,15,8,4,31,10
ARG,10/26-29/07,600 LV,16,19,14,1,27,8
U of Iowa,10/17-24/07,282 LV,13,13,6,-,36,11
Strategic Vision (R),10/12-14/07,600 LV,13,12,5,4,27,10
Rasmussen,10/10-14/07,650 LV,13,18,6,2,25,19
InsiderAdvantage,10/2-3/07,1339 LV,16,13,10,4,24,13
Register/Selzer,10/1-3/07,405 LV,11,12,7,4,29,18
ARG,9/26-29/07,600 LV,21,4,11,2,22,16
Newsweek,9/26-27/07,LV,13,12,9,5,24,16
Strategic Vision (R),9/21-23/07,600 LV,17,8,6,3,30,13
