Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Romney,Gingrich,Santorum,Paul,Cain,Huntsman,Perry,Undecided,Other,Pollster URL,Source URL
YouGov/Economist,2012-04-28,2012-04-30,2012-05-02 2000-01-01 15:47:38 UTC,,Likely Voters - Republican,Internet,49,17,,16,,,,7,11,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13672,http://cdn.yougov.com/cumulus_uploads/document/0p6rgsuach/econToplines.pdf
YouGov/Economist,2012-04-21,2012-04-23,2012-04-25 2000-01-01 17:33:38 UTC,,Likely Voters - Republican,Internet,57,14,,13,,,,8,9,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13625,http://cdn.yougov.com/cumulus_uploads/document/hhso6vssxx/econToplines.pdf
CBS/Times,2012-04-13,2012-04-17,2012-04-18 2000-01-01 11:10:55 UTC,268,Likely Voters - Republican,Live Phone,54,20,,12,,,,5,9,http://elections.huffingtonpost.com/pollster/polls/cbs-times-13553,http://www.cbsnews.com/8301-250_162-57416095/cbs-news-nyt-poll-4-18-12/
YouGov/Economist,2012-04-14,2012-04-16,2012-04-19 2000-01-01 13:25:23 UTC,,Likely Voters - Republican,Internet,49,20,,13,,,,8,10,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13564,http://cdn.yougov.com/cumulus_uploads/document/q7qphtiux5/econToplines.pdf
CNN,2012-04-13,2012-04-15,2012-04-16 2000-01-01 16:15:26 UTC,473,Adults - Republican,Live Phone,57,19,,18,,,,3,3,http://elections.huffingtonpost.com/pollster/polls/cnn-13536,http://i2.cdn.turner.com/cnn/2012/images/04/16/rel4a.pdf
PPP (D),2012-04-12,2012-04-15,2012-04-17 2000-01-01 16:16:52 UTC,742,Likely Voters - Republican,Automated Phone,54,24,,14,,,,9,0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-13550,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_417.pdf
FOX,2012-04-09,2012-04-11,2012-04-13 2000-01-01 12:00:57 UTC,376,Likely Voters - Republican,Live Phone,46,13,15,16,,,,8,2,http://elections.huffingtonpost.com/pollster/polls/fox-13521,http://www.foxnews.com/politics/interactive/2012/04/12/fox-news-poll-romney-edges-obama-as-approval-president-drops/
YouGov/Economist,2012-04-07,2012-04-10,2012-04-12 2000-01-01 13:31:55 UTC,,Likely Voters - Republican,Internet,36,10,18,15,,,,8,13,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13517,http://cdn.yougov.com/cumulus_uploads/document/62c5cvpx77/econToplines.pdf
Gallup,2012-04-04,2012-04-09,2012-04-10 2000-01-01 16:17:24 UTC,1000,Registered Voters - Republican,Live Phone,42,10,24,10,,,,,1,http://elections.huffingtonpost.com/pollster/polls/gallup-13489,http://www.gallup.com/poll/election.aspx
ABC/Post,2012-04-05,2012-04-08,2012-04-10 2000-01-01 11:01:56 UTC,,Registered Voters - Republican,Live Phone,44,10,25,13,,,,3,5,http://elections.huffingtonpost.com/pollster/polls/abc-post-13481,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_04082012.html
YouGov/Economist,2012-03-31,2012-04-03,2012-04-05 2000-01-01 09:18:45 UTC,,Likely Voters - Republican,Internet,29,12,26,14,,,,6,12,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13440,http://cdn.yougov.com/cumulus_uploads/document/tcsmuw8ni1/econToplines.pdf
