Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Trump,Cruz,Rubio,Carson,Bush,Paul,Christie,Huckabee,Kasich,Fiorina,Santorum,Gilmore,Graham,Jindal,Pataki,Perry,Walker,Pollster URL,Source URL,Partisan,Affiliation
Monmouth University,2016-01-23,2016-01-26,2016-01-27 17:57:02 UTC 2016-01-27 17:57:02 UTC,500,Likely Voters - Republican,Live Phone,30,23,16,10,4,3,2,3,3,2,1,0,,,,,,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-23608,,Nonpartisan,None
ARG,2016-01-21,2016-01-24,2016-01-25 18:13:02 UTC 2016-01-25 18:13:02 UTC,400,Likely Voters - Republican,Live Phone,33,26,11,7,3,4,4,2,3,1,1,0,,,,,,http://elections.huffingtonpost.com/pollster/polls/arg-23581,,Nonpartisan,None
Quinnipiac,2016-01-18,2016-01-24,2016-01-26 12:06:14 UTC 2016-01-26 12:06:14 UTC,651,Likely Voters - Republican,Live Phone,31,29,13,7,4,5,3,2,1,1,0,,,,,,,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23590,,Nonpartisan,None
Iowa State/WHO-HD,2016-01-05,2016-01-22,2016-01-26 17:01:23 UTC 2016-01-26 17:01:23 UTC,185,Likely Voters - Republican,Live Phone,19,26,12,13,4,7,1,4,1,1,1,,,,,,,http://elections.huffingtonpost.com/pollster/polls/iowa-state-who-hd-23595,,Nonpartisan,None
FOX,2016-01-18,2016-01-21,2016-01-24 14:51:13 UTC 2016-01-24 14:51:13 UTC,378,Likely Voters - Republican,Live Phone,34,23,12,7,4,6,4,2,2,1,2,0,,,,,,http://elections.huffingtonpost.com/pollster/polls/fox-23566,,Nonpartisan,None
CBS/YouGov,2016-01-18,2016-01-21,2016-01-24 15:59:58 UTC 2016-01-24 15:59:58 UTC,492,Likely Voters - Republican,Internet,39,34,13,5,1,3,2,0,1,1,1,0,,,,,,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-23568,,Nonpartisan,None
Emerson College Polling Society,2016-01-18,2016-01-20,2016-01-21 20:52:52 UTC 2016-01-21 20:52:52 UTC,271,Likely Voters - Republican,Automated Phone,33,23,14,9,5,3,5,2,3,2,,,,,,,,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-23550,,Nonpartisan,None
CNN,2016-01-15,2016-01-20,2016-01-21 21:30:09 UTC 2016-01-21 21:30:09 UTC,266,Likely Voters - Republican,Live Phone,37,26,14,6,3,2,1,3,1,1,1,,,,,,,http://elections.huffingtonpost.com/pollster/polls/cnn-23554,,Nonpartisan,None
Monmouth College/KBUR/Douglas Fulmer & Associates,2016-01-18,2016-01-19,2016-01-21 13:35:50 UTC 2016-01-21 13:35:50 UTC,687,Likely Voters - Republican,IVR/Live Phone,25,27,9,11,7,3,4,4,3,3,1,1,,,,,,http://elections.huffingtonpost.com/pollster/polls/monmouth-college-kbur-douglas-fulmer-associates-23540,,Nonpartisan,None
Loras College,2016-01-13,2016-01-18,2016-01-21 16:21:06 UTC 2016-01-21 16:21:06 UTC,500,Likely Voters - Republican,Live Phone,26,25,13,8,6,3,3,3,4,2,1,,,,,,,http://elections.huffingtonpost.com/pollster/polls/loras-college-23543,,Nonpartisan,None
