POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,GIULIANI,HUCKABEE,MCCAIN,PAUL,ROMNEY,THOMPSON,UNDECIDED
InsiderAdvantage,2008-01-02,2008-01-02,1,430,Likely Voters,,,,,,5,30,11,7,24,11,
ARG,2007-12-31,2008-01-02,0,600,Likely Voters,,,,,,8,29,11,6,24,13,
Reuters/CSPAN/,2007-12-30,2008-01-02,0,914,Likely Voters,,,,,,6,31,10,10,25,11,
Zogby,,,,,,,,,,,,,,,,,
Reuters/CSPAN/,2007-12-29,2008-01-01,1,882,Likely Voters,,,,,,7,28,12,9,26,12,
Zogby*,,,,,,,,,,,,,,,,,
Reuters/CSPAN/,2007-12-28,2007-12-31,2,903,Likely Voters,,,,,,8,29,12,7,25,10,
Zogby*,,,,,,,,,,,,,,,,,
Strategic Vision (R),2007-12-28,2007-12-30,3,600,Likely Voters,,,,,,4,28,16,4,30,13,
Register/Selzer,2007-12-27,2007-12-30,3,800,Likely Voters,,,,,,5,32,13,9,26,9,
Reuters/CSPAN/,2007-12-27,2007-12-30,3,876,Likely Voters,,,,,,7,29,13,7,27,8,
Zogby*,,,,,,,,,,,,,,,,,
CNN,2007-12-26,2007-12-30,2,373,Likely Voters,,,,,,8,28,10,8,31,13,
Reuters/CSPAN/,2007-12-26,2007-12-29,4,867,Likely Voters,,,,,,8,29,11,8,28,8,
Zogby,,,,,,,,,,,,,,,,,
McClatchy/MSNBC/,2007-12-26,2007-12-28,5,400,Likely Voters,,,,,,5,23,13,5,27,14,
Mason-Dixon,,,,,,,,,,,,,,,,,
ARG,2007-12-26,2007-12-28,5,600,Likely Voters,,,,,,6,23,11,6,32,7,
Research 2000,2007-12-26,2007-12-27,7,500,Likely Voters,,,,,,8,34,8,8,27,11,
Strategic Vision (R),2007-12-26,2007-12-27,7,600,Likely Voters,,,,,,4,29,14,4,27,15,
Times/Bloomberg,2007-12-20,2007-12-26,5,310,CV,,,,,,6,37,11,2,23,11,
ARG,2007-12-20,2007-12-23,10,600,Likely Voters,,,,,,14,23,17,10,21,3,
ARG,2007-12-16,2007-12-19,14,600,Likely Voters,,,,,,13,28,20,4,17,5,
Strategic Vision (R),2007-12-16,2007-12-18,15,600,Likely Voters,,,,,,6,31,8,5,25,16,
CNN,2007-12-14,2007-12-18,14,359,Likely Voters,,,,,,11,33,9,6,25,9,
Rasmussen,2007-12-17,2007-12-17,17,496,Likely Voters,,,,,,8,28,14,6,27,8,
InsiderAdvantage,2007-12-16,2007-12-17,17,418,HLV,,,,,,5,25,7,6,28,11,
ABC/Post,2007-12-13,2007-12-17,15,501,Likely Voters,,,,,,8,35,6,8,27,9,
Research 2000,2007-12-10,2007-12-13,20,500,Likely Voters,,,,,,9,31,7,7,22,9,
Diageo/Hotline,2007-12-07,2007-12-12,20,446,Likely Voters,,,,,,12,36,5,5,23,8,
Rasmussen,2007-12-10,2007-12-10,24,789,Likely Voters,,,,,,8,39,6,5,23,8,
Strategic Vision (R),2007-12-08,2007-12-10,23,600,Likely Voters,,,,,,10,30,5,4,25,13,
Newsweek,2007-12-05,2007-12-06,28,275,Likely Voters,,,,,,9,39,6,8,17,10,
McClatchy-MSNBC,2007-12-03,2007-12-06,27,400,Likely Voters,,,,,,5,32,7,2,20,11,
Strategic Vision (R),2007-11-30,2007-12-02,31,600,Likely Voters,,,,,,13,27,6,5,24,11,
Zogby,2007-11-29,2007-12-01,32,508,Likely Voters,,,,,,12,25,5,5,26,8,
ARG,2007-11-26,2007-11-29,34,600,Likely Voters,,,,,,9,27,9,3,28,14,
Register/Selzer,2007-11-25,2007-11-28,35,500,Likely Voters,,,,,,13,29,7,7,24,9,
Rasmussen,2007-11-26,2007-11-27,37,839,Likely Voters,,,,,,12,28,4,5,25,11,
Strategic Vision (R),2007-11-23,2007-11-25,38,600,Likely Voters,,,,,,14,24,7,5,26,10,
Pew/AP,2007-11-07,2007-11-25,30,264,Likely Voters,,,,,,14,24,5,5,25,12,
ABC/Post,2007-11-14,2007-11-18,44,400,Likely Voters,,,,,,13,24,6,6,28,15,
Iowa State,2007-11-06,2007-11-18,40,241,Likely Voters,,,,,,16,22,8,3,25,9,
Research 2000,2007-11-12,2007-11-14,49,400,Likely Voters,,,,,,16,18,6,5,27,10,
ARG,2007-11-10,2007-11-14,48,600,Likely Voters,,,,,,11,24,10,3,26,11,
Rasmussen,2007-11-12,2007-11-12,52,825,Likely Voters,,,,,,15,16,6,4,29,14,
Strategic Vision (R),2007-11-09,2007-11-12,51,600,Likely Voters,,,,,,12,19,7,5,30,11,
CBS/Times,2007-11-02,2007-11-12,47,480,Likely Voters,,,,,,15,21,4,4,27,9,
Zogby,2007-11-06,2007-11-06,58,410,Likely Voters,,,,,,11,15,8,4,31,10,
ARG,2007-10-26,2007-10-29,65,600,Likely Voters,,,,,,16,19,14,1,27,8,
U of Iowa,2007-10-17,2007-10-24,68,282,Likely Voters,,,,,,13,13,6,-,36,11,
Strategic Vision (R),2007-10-12,2007-10-14,80,600,Likely Voters,,,,,,13,12,5,4,27,10,
Rasmussen,2007-10-10,2007-10-14,79,650,Likely Voters,,,,,,13,18,6,2,25,19,
InsiderAdvantage,2007-10-02,2007-10-03,92,1339,Likely Voters,,,,,,16,13,10,4,24,13,
Register/Selzer,2007-10-01,2007-10-03,91,405,Likely Voters,,,,,,11,12,7,4,29,18,
ARG,2007-09-26,2007-09-29,95,600,Likely Voters,,,,,,21,4,11,2,22,16,
Newsweek,2007-09-26,2007-09-27,98,,Likely Voters,,,,,,13,12,9,5,24,16,
Strategic Vision (R),2007-09-21,2007-09-23,101,600,Likely Voters,,,,,,17,8,6,3,30,13,
Times/Bloomberg,2007-09-06,2007-09-10,113,350,Likely Voters,,,,,,16,8,7,2,28,16,
ARG,2007-08-26,2007-08-29,126,600,Likely Voters,,,,,,17,14,5,1,27,13,
McLaughlin (R)/,2007-08-20,2007-08-21,135,500,Likely Voters,,,,,,12,11,7,1,35,11,
Hart (D),,,,,,,,,,,,,,,,,
Strategic Vision (R),2007-08-17,2007-08-19,136,600,Likely Voters,,,,,,13,8,8,3,31,15,
Zogby,2007-08-17,2007-08-18,138,487,Likely Voters,,,,,,14,8,6,3,33,12,
ABC/Post,2007-07-26,2007-07-31,154,402,Likely Voters,,,,,,14,8,8,2,25,13,
ARG,2007-07-26,2007-07-30,155,600,Likely Voters,,,,,,22,1,17,1,21,13,
Research 2000,2007-07-23,2007-07-25,161,400,Likely Voters,,,,,,13,2,10,1,25,14,
Victory Ent (R),2007-07-23,2007-07-25,161,400,Likely Voters,,,,,,9,4,5,1,26,7,
ARG,2007-06-26,2007-06-30,185,600,Likely Voters,,,,,,18,1,13,1,25,14,
Strategic Vision (R),2007-06-22,2007-06-24,192,600,Likely Voters,,,,,,14,5,10,2,23,17,
Mason-Dixon,2007-06-13,2007-06-16,200,400,Likely Voters,,,,,,15,7,6,0,25,17,
V/C (R-Romney),2007-05-29,2007-05-31,216,402,Likely Voters,,,,,,12,7,9,-,29,10,
PPP (D),2007-05-30,2007-05-30,218,774,Likely Voters,,,,,,8,4,9,2,31,15,
ARG,2007-05-24,2007-05-27,220,600,Likely Voters,,,,,,23,2,25,0,16,6,
Strategic Vision (R),2007-05-18,2007-05-20,227,600,Likely Voters,,,,,,18,3,16,2,20,10,
Register/Selzer,2007-05-12,2007-05-16,230,401,Likely Voters,,,,,,17,4,18,0,30,-,
Research 2000,2007-05-14,2007-05-15,233,400,Likely Voters,,,,,,17,2,18,0,16,9,
Zogby,2007-05-14,2007-05-15,233,600,Likely Voters,,,,,,16,1,18,0,17,8,
ARG,2007-04-27,2007-04-30,247,600,Likely Voters,,,,,,19,2,26,0,14,13,
Strategic Vision (R),2007-03-30,2007-04-01,276,600,Likely Voters,,,,,,25,2,20,1,8,11,
Zogby,2007-03-28,2007-03-28,281,404,Likely Voters,,,,,,25,2,19,-,11,7,
ARG,2007-03-19,2007-03-22,286,600,Likely Voters,,,,,,29,0,29,0,10,12,
V/C (R-Romney),,,-1,,Likely Voters,,,,,,24,7,17,-,15,-,
Strategic Vision (R),2007-02-16,2007-02-18,318,600,Likely Voters,,,,,,29,2,22,-,9,-,
ARG,,,-1,600,Likely Voters,,,,,,31,1,23,0,8,-,
ARG,2007-01-29,2007-02-01,335,600,Likely Voters,,,,,,27,2,22,0,11,-,
Strategic Vision (R),2007-01-19,2007-01-21,346,600,Likely Voters,,,,,,25,1,21,-,8,-,
Zogby,2007-01-15,2007-01-16,352,465,Likely Voters,,,,,,19,1,17,-,5,-,
ARG,2006-12-19,2006-12-23,374,600,Likely Voters,,,,,,28,1,26,-,6,-,
Research 2000,2006-12-18,2006-12-20,378,400,Likely Voters,,,,,,26,-,27,-,9,-,
Victory Ent. (R),2006-08-14,2006-08-15,506,400,Likely Voters,,,,,,30,3,17,-,5,-,
ARG,2006-04-25,2006-05-02,608,600,Likely Voters,,,,,,-,0,26,-,3,-,
Victory Ent. (R),2005-08-08,2005-08-10,875,400,Likely Voters,,,,,,15,-,16,-,1,-,
U of Iowa,2007-07-29,2007-08-05,148,223,Likely Voters,,,,,,12,2,3,-,28,8,
Zogby,2007-05-14,2007-05-15,233,600,Likely Voters,,,,,,18,2,18,1,19,9,
U of Iowa,2007-03-19,2007-03-31,272,178,Likely Voters,,,,,,20,-,21,-,17,-,
