POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,GIULIANI,HUCKABEE,MCCAIN,PAUL,ROMNEY,THOMPSON,UNDECIDED
Gallup,2008-02-24,2008-02-26,-55,1012,Likely Voters,,,,,,-,22,63,4,-,,7
AP-Ipsos,2008-02-22,2008-02-24,-53,381,A,,,,,,-,27,53,8,-,,11
USA Today/Gallup,2008-02-21,2008-02-24,-53,829,A,,,,,,-,23,61,4,-,,6
Pew,2008-02-20,2008-02-24,-54,482,Registered Voters,,,,,,-,23,61,7,-,,7
Gallup,2008-02-22,2008-02-23,-51,944,Likely Voters,,,,,,-,20,65,6,-,,10
Fox,2008-02-19,2008-02-20,-48,294,Registered Voters,,,,,,-,34,51,7,-,,4
Gallup,2008-02-18,2008-02-20,-49,1006,Likely Voters,,,,,,-,22,62,5,-,,6
Gallup,2008-02-15,2008-02-17,-46,1003,Likely Voters,,,,,,-,26,54,6,-,,8
Diageo/Hotline,2008-02-14,2008-02-17,-46,266,Likely Voters,,,,,,-,25,53,7,-,,11
Zogby,2008-02-13,2008-02-16,-45,434,Likely Voters,,,,,,-,32,47,7,-,,8
Gallup,2008-02-12,2008-02-14,-43,1000,Likely Voters,,,,,,-,28,53,5,-,,6
ARG,2008-02-09,2008-02-13,-43,600,Likely Voters,,,,,,-,31,54,3,-,,12
Gallup,2008-02-09,2008-02-11,-40,963,Likely Voters,,,,,,-,28,52,5,-,,9
AP-Ipsos,2008-02-07,2008-02-10,-39,357,A,,,,,,-,30,44,9,-,,4
USA Today/Gallup,2008-02-08,2008-02-09,-37,,A,,,,,,-,27,53,8,-,,-
Gallup,2008-02-06,2008-02-08,-37,1012,Likely Voters,,,,,,-,21,53,5,10,,7
Newsweek,2008-02-06,2008-02-07,-35,463,,,,,,,-,32,51,6,-,,-
Gallup,2008-02-03,2008-02-05,-34,1022,Likely Voters,,,,,,-,21,41,4,25,,7
CNN,2008-02-01,2008-02-03,-32,412,Registered Voters,,,,,,-,18,44,6,29,,-
Cook/RT,2008-01-31,2008-02-02,-31,308,Registered Voters,,,,,,-,18,39,6,24,,12
Gallup,2008-01-31,2008-02-02,-31,1091,Likely Voters,,,,,,-,18,43,4,24,,7
CBS,2008-01-30,2008-02-02,-31,325,Likely Voters,,,,,,-,12,46,9,23,,8
USA Today/Gallup,2008-01-30,2008-02-02,-31,867,A,,,,,,-,18,42,5,24,,-
Pew,2008-01-30,2008-02-02,-31,513,Registered Voters,,,,,,-,20,42,5,22,,11
ABC/Post,2008-01-30,2008-02-01,-30,,Likely Voters,,,,,,-,16,48,7,24,,3
Fox,2008-01-30,2008-01-31,-28,297,Registered Voters,,,,,,-,19,48,5,20,,5
Gallup,2008-01-28,2008-01-30,-28,1020,Likely Voters,,,,,,7,17,37,4,22,,10
Gallup,2008-01-25,2008-01-27,-25,1044,Likely Voters,,,,,,13,18,29,5,21,,12
Gallup,2008-01-22,2008-01-24,-22,1045,Likely Voters,,,,,,14,20,31,5,19,,8
NBC/WSJ,2008-01-20,2008-01-22,-20,,Likely Voters,,,,,,13,20,28,4,17,,8
Times/Bloomberg,2008-01-18,2008-01-22,-21,337,Likely Voters,,,,,,12,18,22,6,17,,13
AP-Ipsos,2008-01-15,2008-01-17,-15,394,A,,,,,,14,16,22,4,16,,18
CNN,2008-01-14,2008-01-17,-15,377,Registered Voters,,,,,,14,20,29,6,19,,4
USA Today/Gallup,2008-01-10,2008-01-13,-11,831,A,,,,,,13,19,33,3,11,,-
Pew,2008-01-09,2008-01-13,-12,499,Registered Voters,,,,,,13,20,29,6,17,,6
Diageo/Hotline,2008-01-10,2008-01-12,-10,266,Likely Voters,,,,,,12,17,32,4,15,,11
ABC/Post,2008-01-09,2008-01-12,-10,,Likely Voters,,,,,,15,20,28,3,19,,4
CBS/Times,2008-01-09,2008-01-12,-10,270,Likely Voters,,,,,,10,18,33,5,8,,15
Zogby,2008-01-10,2008-01-11,-8,427,Likely Voters,,,,,,9,23,28,4,13,,-
CNN,2008-01-09,2008-01-10,-7,397,Registered Voters,,,,,,18,21,34,5,14,,2
USA Today/Gallup,2008-01-04,2008-01-06,-4,423,A,,,,,,20,25,19,4,9,,9
Pew,2007-12-19,2007-12-30,-1,556,Registered Voters,,,,,,20,17,22,4,12,,12
AP-Yahoo,2007-12-14,2007-12-20,11,655,Registered Voters,,,,,,21,22,14,3,13,,12
Fox,2007-12-18,2007-12-19,15,315,Registered Voters,,,,,,20,19,19,3,11,,13
NBC/WSJ,2007-12-14,2007-12-17,16,,A,,,,,,20,17,14,4,20,,10
Harris,2007-12-07,2007-12-17,12,355,Likely Voters,,,,,,25,21,11,6,18,,-
USA Today/Gallup,2007-12-14,2007-12-16,17,399,A,,,,,,27,16,14,3,14,,9
Zogby,2007-12-12,2007-12-14,19,432,Likely Voters,,,,,,23,22,12,4,16,,9
Diageo/Hotline,2007-12-10,2007-12-14,18,291,Likely Voters,,,,,,21,17,10,7,13,,14
GWU Battleground,2007-12-09,2007-12-12,21,,Likely Voters,,,,,,22,24,15,6,16,,7
ARG,2007-12-09,2007-12-12,21,600,Likely Voters,,,,,,21,21,18,5,16,,11
ABC/Post,2007-12-06,2007-12-09,24,293,Likely Voters,,,,,,25,19,12,3,17,,7
CNN,2007-12-06,2007-12-09,24,377,Registered Voters,,,,,,24,22,13,6,16,,6
CBS/Times,2007-12-05,2007-12-09,23,266,Likely Voters,,,,,,22,21,7,4,16,,17
AP-Ipsos,2007-12-03,2007-12-05,28,376,A,,,,,,26,18,13,3,12,,16
Times/Bloomberg,2007-11-30,2007-12-03,30,428,Likely Voters,,,,,,23,17,11,5,9,,17
USA Today/Gallup,2007-11-30,2007-12-02,31,425,A,,,,,,25,16,15,4,12,,10
Pew/AP,2007-11-07,2007-11-25,30,448,Likely Voters,,,,,,26,11,17,4,13,,15
Zogby,2007-11-14,2007-11-17,46,503,Likely Voters,,,,,,29,11,9,5,9,,21
Fox,2007-11-13,2007-11-14,50,297,Registered Voters,,,,,,33,8,17,3,8,,13
Gallup,2007-11-11,2007-11-14,49,398,A,,,,,,28,10,13,5,12,,9
ARG,2007-11-09,2007-11-12,51,600,Likely Voters,,,,,,25,6,12,4,21,,12
Harris,2007-11-02,2007-11-12,47,565,Likely Voters,,,,,,34,9,13,6,16,,-
Cook/RT,2007-11-08,2007-11-11,52,308,Registered Voters,,,,,,29,8,12,6,12,,16
AP-Ipsos,2007-11-05,2007-11-07,56,361,A,,,,,,29,10,13,-,12,,15
NBC/WSJ,2007-11-01,2007-11-05,57,,A,,,,,,33,8,16,4,11,,8
