POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,Romney,Gingrich,Santorum,Paul,Cain,Huntsman,Perry
InsiderAdvantage,2012-01-01,2012-01-01,2,729,Likely Voters,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/insideradvantage-12385,http://www.realclearpolitics.com/docs/2012/InsiderAdvantage_Iowa_0102.pdf,,,23,16,18,22,,2,10
PPP (D),2011-12-31,2012-01-01,2,572,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-12381,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_IA_101914.pdf,,,19,14,18,20,,4,10
ARG,2011-12-29,2012-01-01,1,600,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/arg-12384,http://americanresearchgroup.com/pres2012/primary/rep/ia/,,,22,15,16,17,,4,9
Des Moines Register/Selzer,2011-12-27,2011-12-30,3,602,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/des-moines-register-selzer-12376,http://caucuses.desmoinesregister.com/2011/12/31/romney-leads-paul-in-new-des-moines-register-iowa-poll-santorum-surging/,,,24,12,15,22,,2,11
We Ask America,2011-12-29,2011-12-29,5,970,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/we-ask-america-12372,http://weaskamerica.com/2011/12/30/consensus-romney/,,,24,13,17,14,,4,10
InsiderAdvantage,2011-12-28,2011-12-28,6,429,Likely Voters,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/insideradvantage-12363,http://www.southernpoliticalreport.com/story.aspx?sid=2257,,,17,17,13,17,,3,11
Rasmussen,2011-12-28,2011-12-28,6,800,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12368,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/iowa/2012_iowa_republican_caucus,,,23,13,16,22,,3,13
NBC/Marist,2011-12-27,2011-12-28,6,433,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-12371,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/_Today_Stories_Teases/Iowapoll111230nbcmarist.pdf,,,23,13,15,21,,2,14
ARG,2011-12-26,2011-12-28,5,600,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/arg-12362,http://americanresearchgroup.com/pres2012/primary/rep/ia/,,,22,17,11,16,,6,9
PPP (D),2011-12-26,2011-12-27,7,572,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-12353,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_IA_1227925.pdf,,,20,13,10,24,,4,10
CNN/Time,2011-12-21,2011-12-27,4,452,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-time-12360,http://swampland.time.com/topline-results-of-dec-21-27-2011-cnntimeorc-poll/,,,25,14,16,22,,1,11
ARG,2011-12-19,2011-12-22,11,600,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/arg-12341,http://americanresearchgroup.com/pres2012/primary/rep/ia/,,,20,19,4,21,,6,9
We Ask America,2011-12-20,2011-12-20,14,1250,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/we-ask-america-12326,http://weaskamerica.com/2011/12/21/down-the-newt-chute/,,,18,16,9,19,,4,11
Rasmussen,2011-12-19,2011-12-19,15,800,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12329,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/iowa/2012_iowa_republican_caucus,,,25,17,10,20,,4,10
InsiderAdvantage,2011-12-18,2011-12-18,16,422,Likely Voters,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/insideradvantage-12347,http://www.realclearpolitics.com/docs/2011/InsiderAdvantage_IA_1218.pdf,,,18,13,3,24,,4,16
