POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,Romney,Gingrich,Santorum,Paul,Cain,Huntsman,Perry
YouGov/Economist,2012-04-28,2012-04-30,-119,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13672,http://cdn.yougov.com/cumulus_uploads/document/0p6rgsuach/econToplines.pdf,,,49,17,,16,,,
YouGov/Economist,2012-04-21,2012-04-23,-112,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13625,http://cdn.yougov.com/cumulus_uploads/document/hhso6vssxx/econToplines.pdf,,,57,14,,13,,,
CBS/Times,2012-04-13,2012-04-17,-107,268,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cbs-times-13553,http://www.cbsnews.com/8301-250_162-57416095/cbs-news-nyt-poll-4-18-12/,,,54,20,,12,,,
YouGov/Economist,2012-04-14,2012-04-16,-105,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13564,http://cdn.yougov.com/cumulus_uploads/document/q7qphtiux5/econToplines.pdf,,,49,20,,13,,,
CNN,2012-04-13,2012-04-15,-104,473,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-13536,http://i2.cdn.turner.com/cnn/2012/images/04/16/rel4a.pdf,,,57,19,,18,,,
PPP (D),2012-04-12,2012-04-15,-104,742,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-13550,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_417.pdf,,,54,24,,14,,,
FOX,2012-04-09,2012-04-11,-100,376,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-13521,http://www.foxnews.com/politics/interactive/2012/04/12/fox-news-poll-romney-edges-obama-as-approval-president-drops/,,,46,13,15,16,,,
YouGov/Economist,2012-04-07,2012-04-10,-99,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13517,http://cdn.yougov.com/cumulus_uploads/document/62c5cvpx77/econToplines.pdf,,,36,10,18,15,,,
Gallup,2012-04-04,2012-04-09,-99,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-13489,http://www.gallup.com/poll/election.aspx,,,42,10,24,10,,,
ABC/Post,2012-04-05,2012-04-08,-97,,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-13481,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_04082012.html,,,44,10,25,13,,,
YouGov/Economist,2012-03-31,2012-04-03,-92,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13440,http://cdn.yougov.com/cumulus_uploads/document/tcsmuw8ni1/econToplines.pdf,,,29,12,26,14,,,
Gallup,2012-03-30,2012-04-03,-93,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-13429,http://www.gallup.com/poll/election.aspx,,,40,11,25,12,,,
YouGov/Economist,2012-03-24,2012-03-27,-85,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13377,http://cdn.yougov.com/cumulus_uploads/document/id0byp7yy7/econToplines.pdf,,,31,11,31,9,,,
CNN,2012-03-24,2012-03-25,-82,436,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-13349,http://i2.cdn.turner.com/cnn/2012/images/03/27/rel3c.pdf,,,36,15,26,17,,,
PPP (D),2012-03-22,2012-03-25,-83,561,Registered Voters,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-13372,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_NC_020912.pdf,,,30,19,30,13,,,
Gallup,2012-03-20,2012-03-24,-83,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-13334,http://www.gallup.com/poll/election.aspx,,,41,13,26,8,,,
Marist/McClatchy,2012-03-20,2012-03-22,-80,377,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/marist-mcclatchy-13344,http://www.mcclatchydc.com/2012/03/26/143149/mcclatchy-marist-poll-on-politics.html,,,39,13,31,13,,,
YouGov/Economist,2012-03-17,2012-03-20,-78,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13283,http://cdn.yougov.com/cumulus_uploads/document/3nqergp46v/econToplines.pdf,,,31,21,23,12,,,
Reason/Rupe,2012-03-10,2012-03-20,-82,468,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/reason-rupe-13340,http://reason.com/assets/db/13327241811317.pdf,,,39,10,26,12,,,
PPP (D),2012-03-15,2012-03-17,-75,734,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-13269,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_US_032112.pdf,,,34,20,31,9,,,
Gallup,2012-03-10,2012-03-14,-73,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-13218,http://www.gallup.com/poll/election.aspx,,,35,15,27,10,,,
YouGov/Economist,2012-03-10,2012-03-13,-71,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13219,http://cdn.yougov.com/cumulus_uploads/document/80t59s65uu/econToplines.pdf,,,28,21,24,10,,,
FOX,2012-03-10,2012-03-12,-70,341,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-13212,http://www.foxnews.com/interactive/politics/2012/03/14/fox-news-poll-romney-leads-gop-pack-but-obama-still-tops-republicans-in/,,,38,13,32,12,,,
Bloomberg,2012-03-08,2012-03-11,-69,377,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/bloomberg-13207,http://www.bloomberg.com/news/2012-03-14/obama-romney-race-toss-up-in-poll-showing-independents-critical.html,,,37,13,27,11,,,
Ipsos/Reuters,2012-03-08,2012-03-11,-69,421,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-13208,http://www.ipsos-na.com/download/pr.aspx?id=11445,,,37,12,32,11,,,
CBS/Times,2012-03-07,2012-03-11,-70,301,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cbs-times-13183,http://www.cbsnews.com/8301-250_162-57395858/cbs-news-nyt-polls-3-12-12/,,,30,13,34,8,,,
Pew,2012-03-07,2012-03-11,-70,538,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/pew-13211,http://www.people-press.org/files/legacy-pdf/03-14-12%20Political%20Release.pdf,,,33,20,24,14,,,
ABC/Post,2012-03-07,2012-03-10,-68,,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-13184,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_031012.html,,,33,14,29,12,,,
Gallup,2012-03-05,2012-03-09,-68,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-13187,http://www.gallup.com/poll/election.aspx,,,36,13,23,11,,,
YouGov/Economist,2012-03-03,2012-03-06,-64,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13169,http://big.assets.huffingtonpost.com/20120306econToplines.pdf,,,31,19,22,11,,,
NBC/WSJ,2012-02-29,2012-03-03,-61,400,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-13135,http://firstread.msnbc.msn.com/_news/2012/03/04/10578249-nbcwsj-poll-primary-season-takes-corrosive-toll-on-gop-and-its-candidates,,,38,13,32,13,,,
Rasmussen,2012-02-29,2012-02-29,-57,1000,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-13091,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/february_2012/national_gop_romney_40_santorum_24_gingrich_16_paul_12,,,40,16,24,12,,,
YouGov/Economist,2012-02-25,2012-02-28,-57,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13092,http://big.assets.huffingtonpost.com/20120228econToplines.pdf,,,29,19,28,12,,,
Gallup,2012-02-24,2012-02-28,-58,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-13084,http://www.gallup.com/poll/election.aspx,,,33,16,25,11,,,
Gallup,2012-02-19,2012-02-23,-53,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-13024,http://www.gallup.com/poll/election.aspx,,,27,16,33,11,,,
Politico/GWU/Battleground,2012-02-19,2012-02-22,-51,1000,Likely Voters,Live Phone,http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-13054,http://images.politico.com/global/2012/02/bg_46_questionnaire.html,,,34,13,36,7,,,
YouGov/Economist,2012-02-18,2012-02-21,-50,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13011,http://cdn.yougov.com/downloads/releases/econ/20120218_econToplines.pdf,,,25,16,34,10,,,
AP-GfK,2012-02-16,2012-02-20,-50,450,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-12993,http://surveys.ap.org/data/GfK/AP-GfK%20Poll%20February%202012%20Topline_2012%20GOP.pdf,,,32,15,33,15,,,
Quinnipiac,2012-02-14,2012-02-20,-51,1124,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-12992,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1708,,,26,14,35,11,,,
Gallup,2012-02-14,2012-02-18,-48,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-12978,http://www.gallup.com/poll/election.aspx,,,28,13,36,11,,,
Rasmussen,2012-02-14,2012-02-14,-42,1000,Likely Voters,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12920,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary,,,27,15,39,10,,,
YouGov/Economist,2012-02-11,2012-02-14,-43,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12939,http://big.assets.huffingtonpost.com/20120214econToplines.pdf,,,27,16,29,14,,,
CNN,2012-02-10,2012-02-13,-42,478,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-12911,http://i2.cdn.turner.com/cnn/2012/images/02/14/rel2a.pdf,,,32,15,34,16,,,
Gallup,2012-02-09,2012-02-13,-43,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-12907,http://www.gallup.com/poll/election.aspx,,,32,16,30,8,,,
CBS/Times,2012-02-08,2012-02-13,-43,331,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cbs-times-12900,http://www.cbsnews.com/8301-250_162-57377936/cbs-news-polls-2-14-12/,,,27,10,30,12,,,
Pew,2012-02-08,2012-02-12,-42,552,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/pew-12891,http://www.people-press.org/files/legacy-pdf/02-13-12%20Final%20Political%20Release.pdf,,,28,17,30,12,,,
Fairleigh Dickinson,2012-02-06,2012-02-12,-43,578,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-12901,http://publicmind.fdu.edu/2012/beatboth/,,,33,15,33,7,,,
PPP (D),2012-02-09,2012-02-10,-38,656,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-12846,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_US_0211.pdf,,,23,17,38,13,,,
FOX,2012-02-06,2012-02-09,-38,407,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-12822,http://www.foxnews.com/politics/2012/02/10/fox-news-poll-methodology-santorum-surge/,,,33,22,23,15,,,
Gallup,2012-02-02,2012-02-08,-39,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-12817,http://www.gallup.com/poll/election.aspx,,,36,20,20,10,,,
YouGov/Economist,2012-02-04,2012-02-07,-36,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12813,http://big.assets.huffingtonpost.com/20120207econToplines.pdf,,,32,23,16,16,,,
Rasmussen,2012-02-06,2012-02-06,-34,1000,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12742,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary,,,34,27,18,11,,,
Ipsos/Reuters,2012-02-02,2012-02-06,-36,400,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-12743,http://www.ipsos-na.com/download/pr.aspx?id=11363,,,29,19,18,21,,,
ABC/Post,2012-02-01,2012-02-04,-33,,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-12721,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_020412.html,,,38,24,18,14,,,
Gallup,2012-01-28,2012-02-01,-31,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-12706,http://www.gallup.com/poll/election.aspx,,,31,25,17,12,,,
YouGov/Economist,2012-01-28,2012-01-31,-29,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12704,http://big.assets.huffingtonpost.com/20120131econToplines.pdf,,,29,23,20,14,,,
Gallup,2012-01-23,2012-01-27,-26,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-12666,http://www.gallup.com/poll/election.aspx,,,26,32,13,13,,,
NBC/WSJ,2012-01-22,2012-01-24,-22,248,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-12644,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/120126NBCWSJfinal.pdf,,,28,37,18,12,,,
YouGov/Economist,2012-01-21,2012-01-24,-22,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12631,http://cdn.yougov.com/downloads/releases/econ/20120121_econToplines.pdf,,,31,29,11,13,,,
Rasmussen,2012-01-23,2012-01-23,-20,1000,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12621,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary,,,28,35,16,10,,,
Gallup,2012-01-18,2012-01-22,-21,1000,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-12614,http://www.gallup.com/poll/election.aspx,,,29,28,11,13,,,
Rasmussen,2012-01-17,2012-01-17,-14,1000,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12497,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary,,,30,27,15,13,,,4
Gallup,2012-01-13,2012-01-17,-16,1192,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-12501,http://www.gallup.com/poll/election.aspx,,,33,16,14,12,,,7
CBS/Times,2012-01-12,2012-01-17,-16,340,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cbs-times-12495,http://www.cbsnews.com/8301-503544_162-57360828-503544/poll-mitt-romney-atop-fluid-gop-race-with-28/,,,28,21,16,15,,2,7
Pew,2012-01-11,2012-01-16,-15,527,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/pew-12503,http://www.people-press.org/2012/01/18/unpopular-nationally-romney-holds-solid-gop-lead/,,,31,16,14,15,,2,5
ABC/Post,2012-01-12,2012-01-15,-13,,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-12487,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_011512.html,,,35,17,13,16,,,9
FOX,2012-01-12,2012-01-14,-12,365,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-12472,http://www.foxnews.com/interactive/politics/2012/01/15/fox-news-poll-raw-data-romney-hits-record-high-but-still-tied-with-obama/,,,40,14,15,13,,5,6
CNN,2012-01-11,2012-01-12,-9,449,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-12471,http://i2.cdn.turner.com/cnn/2012/images/01/13/rel1aa.pdf,,,34,18,15,15,,4,9
Gallup,2012-01-08,2012-01-12,-11,1000,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-12465,http://www.gallup.com/poll/election.aspx,,,34,15,14,12,,2,5
YouGov/Economist,2012-01-07,2012-01-10,-8,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12456,http://cdn.yougov.com/downloads/releases/econ/20120107_econToplines.pdf,,,24,17,19,15,,6,6
Ipsos/Reuters,2012-01-05,2012-01-09,-8,400,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-12444,http://www.ipsos-na.com/download/pr.aspx?id=11291,,,30,20,13,16,,3,7
CBS,2012-01-04,2012-01-08,-7,440,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cbs-12422,http://www.cbsnews.com/8301-250_162-57355596/cbs-news-polls-1-9-12/,,,19,15,14,10,,4,6
Pew,2012-01-04,2012-01-08,-7,549,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/pew-12433,http://www.people-press.org/files/legacy-pdf/1-9-12%20Political%20Release.pdf,,,27,16,16,12,,2,6
Gallup,2012-01-03,2012-01-07,-6,1000,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-12424,http://www.gallup.com/poll/election.aspx,,,31,16,18,13,,1,6
Rasmussen,2012-01-04,2012-01-04,-1,1000,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12398,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary,,,29,16,21,12,,4,4
YouGov/Economist,2011-12-31,2012-01-03,-1,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12402,http://big.assets.huffingtonpost.com/20120103econToplines.pdf,,,30,17,8,13,,5,8
Gallup,2011-12-26,2012-01-02,-2,1000,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-12387,http://www.gallup.com/poll/election.aspx,,,24,23,6,13,,2,7
Gallup,2011-12-19,2011-12-23,9,1000,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-12352,http://www.gallup.com/poll/election.aspx,,,23,26,3,12,,1,8
YouGov/Economist,2011-12-17,2011-12-20,13,,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12334,http://big.assets.huffingtonpost.com/20111220econToplines.pdf,,,21,27,4,13,,6,5
Gallup,2011-12-16,2011-12-18,15,1500,Adults,Live Phone,http://elections.huffingtonpost.com/pollster/polls/gallup-12310,http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx,,,24,26,4,11,,2,7
