POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,Trump,Cruz,Rubio,Carson,Bush,Christie,Rand Paul,Kasich,Huckabee,Fiorina,Santorum,Gilmore,Graham,Jindal,Pataki,Perry,Walker
Monmouth University,2016-01-23,2016-01-26,5,500,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-23608,,Nonpartisan,None,30,23,16,10,4,2,,3,3,2,1,0,,,,,
ARG,2016-01-21,2016-01-24,7,400,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/arg-23581,,Nonpartisan,None,33,26,11,7,3,4,,3,2,1,1,0,,,,,
Quinnipiac,2016-01-18,2016-01-24,5,651,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23590,,Nonpartisan,None,31,29,13,7,4,3,,1,2,1,0,,,,,,
Iowa State/WHO-HD,2016-01-05,2016-01-22,2,185,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/iowa-state-who-hd-23595,,Nonpartisan,None,19,26,12,13,4,1,,1,4,1,1,,,,,,
FOX,2016-01-18,2016-01-21,10,378,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-23566,,Nonpartisan,None,34,23,12,7,4,4,,2,2,1,2,0,,,,,
CBS/YouGov,2016-01-18,2016-01-21,10,492,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-23568,,Nonpartisan,None,39,34,13,5,1,2,,1,0,1,1,0,,,,,
Emerson College Polling Society,2016-01-18,2016-01-20,11,271,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-23550,,Nonpartisan,None,33,23,14,9,5,5,,3,2,2,,,,,,,
CNN,2016-01-15,2016-01-20,10,266,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-23554,,Nonpartisan,None,37,26,14,6,3,1,,1,3,1,1,,,,,,
Monmouth College/KBUR/Douglas Fulmer & Associates,2016-01-18,2016-01-19,13,687,Likely Voters - Republican,IVR/Live Phone,http://elections.huffingtonpost.com/pollster/polls/monmouth-college-kbur-douglas-fulmer-associates-23540,,Nonpartisan,None,25,27,9,11,7,4,,3,4,3,1,1,,,,,
Loras College,2016-01-13,2016-01-18,12,500,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/loras-college-23543,,Nonpartisan,None,26,25,13,8,6,3,,4,3,2,1,,,,,,
Gravis Marketing/One America News,2016-01-11,2016-01-12,20,422,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23497,,Sponsor,Rep,34,28,5,9,4,5,,4,2,1,0,,,,,,
PPP (D),2016-01-08,2016-01-10,21,530,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23481,,Pollster,Dem,28,26,13,8,6,3,,3,3,3,2,0,,,,,
Des Moines Register/Bloomberg/Selzer,2016-01-07,2016-01-10,21,500,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/des-moines-register-bloomberg-selzer-23490,,Nonpartisan,None,22,25,12,11,4,3,,2,3,2,1,0,,,,,
ARG,2016-01-06,2016-01-10,20,600,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/arg-23475,,Nonpartisan,None,29,25,10,8,3,6,,3,2,1,2,,,,,,
Quinnipiac,2016-01-05,2016-01-10,20,602,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23472,,Nonpartisan,None,31,29,15,7,3,4,,2,3,1,1,,,,,,
Mason-Dixon/AARP,2016-01-04,2016-01-08,22,504,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/mason-dixon-aarp-23564,,Nonpartisan,None,24,31,12,6,5,4,,3,2,3,1,0,,,,,
FOX,2016-01-04,2016-01-07,24,504,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-23455,,Nonpartisan,None,23,27,15,9,7,4,,1,2,1,1,,,,,,
NBC/WSJ/Marist,2016-01-02,2016-01-07,23,456,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-23459,,Nonpartisan,None,24,28,13,11,4,3,,2,2,3,,,,,,,
Gravis Marketing,2015-12-18,2015-12-21,41,440,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-23411,,Nonpartisan,None,31,31,9,7,4,3,,2,4,3,0,,1,,1,,
CBS/YouGov,2015-12-14,2015-12-17,45,534,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-23387,,Nonpartisan,None,31,40,12,6,2,1,,1,2,2,1,0,0,,0,,
PPP (D),2015-12-10,2015-12-13,49,522,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23327,,Pollster,Dem,28,25,14,10,7,3,,2,3,3,1,0,1,,0,,
Quinnipiac,2015-12-04,2015-12-13,46,874,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23316,,Nonpartisan,None,28,27,14,10,5,3,,1,1,3,0,,0,,0,,
FOX,2015-12-07,2015-12-10,52,450,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-23312,,Nonpartisan,None,26,28,13,10,5,2,,1,1,2,0,0,0,,1,,
