POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,Trump,Cruz,Rubio,Carson,Bush,Christie,Rand Paul,Kasich,Huckabee,Fiorina,Santorum,Gilmore,Graham,Jindal,Pataki,Perry,Walker
Morning Consult,2016-01-21,2016-01-24,7,1552,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23600,,Nonpartisan,None,40,11,9,10,7,3,2,2,3,1,1,,,,,,
CNN,2016-01-21,2016-01-24,7,405,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-23592,,Nonpartisan,None,41,19,8,6,5,4,3,1,3,2,0,0,,,,,
ABC/Post,2016-01-20,2016-01-24,6,356,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-23591,,Nonpartisan,None,37,21,11,7,5,4,1,2,2,3,0,,,,,,
NBC/SurveyMonkey,2016-01-18,2016-01-24,5,2327,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23599,,Nonpartisan,None,39,17,10,8,4,3,3,3,1,2,0,0,,,,,
FOX,2016-01-18,2016-01-21,10,405,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-23563,,Nonpartisan,None,34,20,11,8,4,3,2,4,2,1,0,0,,,,,
Zogby (Internet),2016-01-19,2016-01-20,12,294,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-23562,,Nonpartisan,None,45,13,8,4,6,2,2,3,2,3,2,,,,,,
Ipsos/Reuters,2016-01-16,2016-01-20,10,588,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23542,,Nonpartisan,None,36,12,8,11,10,4,4,2,2,3,0,1,,,,,
YouGov/Economist,2016-01-15,2016-01-19,11,476,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23539,,Nonpartisan,None,38,19,14,7,3,3,4,2,2,2,1,0,,,,,
Monmouth University,2016-01-15,2016-01-18,13,385,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-23533,,Nonpartisan,None,36,17,11,8,5,3,2,3,3,1,1,0,,,,,
Morning Consult,2016-01-14,2016-01-17,14,1635,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23526,,Nonpartisan,None,39,13,9,8,7,3,3,2,3,2,1,,,,,,
